<<<<<<< HEAD
Model,MSE,MAE,R2
LinearRegression,10549721686.159279,82657.946058922,0.9146454505138069
RobustRegression,61664910393.24919,199465.55955429235,0.5010881990728202
RidgeRegression,10549745186.670172,82659.67244409776,0.91464526037841
LassoRegression,10549717660.356377,82657.94662172231,0.9146454830853386
ElasticNet,15081376466.559593,99126.80843102593,0.8779812271613102
PolynomialRegression,15943712231.118786,97862.96882261717,0.8710043340375468
SGDRegressor,5.9140372394125666e+35,7.478508617471611e+17,-4.784865413813604e+24
ANN,61386254074.57947,199114.9283619001,0.5033427215378763
RandomForest,15019934524.7998,98702.15471300001,0.8784783349916849
SVM,123546565157.52672,282947.68758691323,0.0004227861838135283
LGBM,13097708114.507051,92133.9888284538,0.8940304769478327
XGBoost,15943249530.43311,102160.92081000573,0.8710080776063108
KNN,60395811313.31432,198086.23684543537,0.5113560889227768
=======
Model,MSE,MAE,R2
LinearRegression,10549721686.159279,82657.946058922,0.9146454505138069
RobustRegression,61664910393.24919,199465.55955429235,0.5010881990728202
RidgeRegression,10549745186.670172,82659.67244409776,0.91464526037841
LassoRegression,10549717660.356377,82657.94662172231,0.9146454830853386
ElasticNet,15081376466.559593,99126.80843102593,0.8779812271613102
PolynomialRegression,15943712231.118786,97862.96882261717,0.8710043340375468
SGDRegressor,2.8789903344853556e+35,4.875907756351701e+17,-2.329302424134033e+24
ANN,61410895216.38654,199089.65050025505,0.5031433576474972
RandomForest,15011801745.144575,98340.1488294085,0.8785441348074708
SVM,123546565157.52672,282947.68758691323,0.0004227861838135283
LGBM,13097708114.507051,92133.9888284538,0.8940304769478327
XGBoost,15943249530.43311,102160.92081000573,0.8710080776063108
KNN,60395811313.31432,198086.23684543537,0.5113560889227768
>>>>>>> 8fad7b2 (Add Housing Regressor Project)
